Code UAI de l’établissement accrédité,Nom officiel (long) de l’établissement accrédité,Adresse de l’établissement accrédité,Code postal de la ville de l’établissement accrédité,Ville de l’établissement accrédité,Identifiant navette de la mention (INM) de master,Domaine(s) de la mention de master,Intitulé de la mention de master,Mention accréditée ou en cours d’accréditation,Modalités d’enseignement de la mention,Semestre auquel la mention est accessible dans l’établissement accrédité,Licences conseillées pour suivre la formation de la mention,etablissement_id_paysage
0383493R,Université Grenoble Alpes,621 avenue Centrale,38400,ST MARTIN D HERES,1602966E,"SCIENCES, TECHNOLOGIES, SANTÉ",Traitement du signal et des images,dossier,"Formation initiale,Formation continue",,,Y7ch7
0450855K,Université d'Orléans,"Château de la Source, avenue du Parc floral",45067,ORLEANS CEDEX 2,1800462C,SCIENCES HUMAINES ET SOCIALES,Histoire,diplôme,"Formation initiale,Formation continue",1er semestre,,HCBvW
0590349J,Centrale Lille Institut,CITÉ SCIENTIFIQUE,59651,VILLENEUVE D ASCQ CEDEX,1504658P,"SCIENCES, TECHNOLOGIES, SANTÉ",Automatique et systèmes électriques,diplôme,Formation initiale,3ème semestre,,54VTe
0670189S,Ecole nationale du génie de l'eau et de l'environnement de Strasbourg,1 QUAI KOCH,67070,STRASBOURG CEDEX,1800621A,"DROIT, ECONOMIE, GESTION",Administration économique et sociale,diplôme,Formation initiale,3ème semestre,,YPOQX
0690187D,Ecole centrale de Lyon,36  AVENUE GUY DE COLLONGUE,69134,ECULLY CEDEX,1602844X,"SCIENCES, TECHNOLOGIES, SANTÉ",Mécanique,diplôme,Formation initiale,3ème semestre,,fWJJA
0691774D,Université Lyon-I,43 BOULEVARD DU 11 NOVEMBRE 1918,69622,VILLEURBANNE CEDEX,1603009B,"SCIENCES HUMAINES ET SOCIALES|SCIENCES, TECHNOLOGIES, SANTÉ",Sciences de l'eau,diplôme,"Formation initiale,Formation continue,Alternance,Apprentissage",1er semestre,,etBz7
0691775E,Université Lyon-II,18  QUAI CLAUDE BERNARD,69365,LYON CEDEX 07,1601684L,SCIENCES HUMAINES ET SOCIALES,Géomatique,diplôme,"Formation initiale,Formation continue",3ème semestre,,CUBKB
0692566P,Ecole nationale des travaux publics de l'Etat,3 RUE MAURICE AUDIN,69518,VAULX EN VELIN CEDEX,1602422N,SCIENCES HUMAINES ET SOCIALES,"Histoire, civilisations, patrimoine",diplôme,Formation initiale,,,56aH3
0753471R,Conservatoire national des arts et métiers,292 RUE SAINT MARTIN,75141,PARIS CEDEX 03,1900142E,"ARTS, LETTRES, LANGUES",Design,diplôme,,1er semestre,,XR16q
0760165S,Institut national des sciences appliquées de Rouen,AVENUE DE L'UNIVERSITE,76801,ST ETIENNE DU ROUVRAY CEDEX,1702187D,"SCIENCES, TECHNOLOGIES, SANTÉ",Chimie,diplôme,Formation initiale,3ème semestre,,TeXD3
0801344B,Université d'Amiens,CHEMIN DU THIL,80021,AMIENS CEDEX 1,1800324C,"SCIENCES, TECHNOLOGIES, SANTÉ",Sciences et génie des matériaux,diplôme,"Formation initiale,Formation continue",1er semestre,,8j5s2
0301687W,Université de Nîmes,RUE DU DOCTEUR GEORGES SALAN,30021,NIMES CEDEX 1,2000291S,"SCIENCES, TECHNOLOGIES, SANTÉ",Sciences de la vision,diplôme,Formation initiale,1er semestre,,HAU8L
9740478B,Université de La Réunion,15 avenue René Cassin,97744,ST DENIS CEDEX 9,1501689W,"SCIENCES, TECHNOLOGIES ET SANTÉ EN ENVIRONNEMENT TROPICAL",Chimie et sciences du vivant,diplôme,Formation initiale,1er semestre,"Chimie,Physique, chimie",cEt92
0301687W,Université de Nîmes,RUE DU DOCTEUR GEORGES SALAN,30021,NIMES CEDEX 1,1501078G,"SCIENCES, TECHNOLOGIES, SANTÉ",Biologie-santé,dossier,Formation initiale,1er semestre,,HAU8L
