"Statut de l’etablissement de la filiere de formation (public, prive…)",Code UAI de l etablissement,etablissement,Region de l’etablissement,Filiere de formation
Prive sous contrat d association,0290335G,Lycee La Croix Rouge,Bretagne,DTS Imagerie medicale et radiologie therapeutique
Prive sous contrat d association,0290336H,Lycee Estran Charles De Foucauld,Bretagne,BTS   Services   Services informatiques aux organisations
Prive sous contrat d association,0290338K,Lycee Sainte Anne,Bretagne,CPGE   PCSI
Public,0290346U,Universite de Brest,Bretagne,Licence   Geographie et amenagement
Public,0290346U,Universite de Brest,Bretagne,"Licence   Histoire   Parcours Geographie, Sciences politiques et sociales"
Public,9720725F,Lycee Joseph Zobel,Martinique,Certificat de Specialisation   Techn. en energies renouvelables opt. a energie electrique
Public,0290346U,Universite de Brest,Bretagne,Licence   Lettres   Parcours Lettres Classiques
Public,0290346U,Universite de Brest,Bretagne,Licence   Lettres   Parcours Lettres Modernes
Public,0290346U,Universite de Brest,Bretagne,Licence   Portail Sciences et Techniques des Activites Physiques et Sportives   STAPS
Public,0290352A,I.U.T de Quimper,Bretagne,BUT   Gestion des entreprises et des administrations
Prive sous contrat d association,0291574D,Lycee agricole DE KERBERNEZ,Bretagne,"BTS   Agricole   Metiers du Vegetal : Alimentation, Ornement, Environnement"
Prive enseignement superieur,0581017R,Institut de formation en psychomotricite de Nevers,Bourgogne Franche Comte,D.E Psychomotricien
Prive enseignement superieur,0951820M,EBI,Ile de France,Formation d ingenieur Bac + 5   Bacs generaux   1 Science
Prive enseignement superieur,0783720V,ESEO Paris   Velizy,Ile de France,Formation d ingenieur Bac + 5   Bacs generaux   1 Science
Prive enseignement superieur,0870997L,3iL,Nouvelle Aquitaine,Formation Bac + 3
Prive enseignement superieur,0941954N,ESITC Paris,Ile de France,Formation d ingenieur Bac + 5   Bacs technologiques
Prive sous contrat d association,0291842V,Maison familiale rurale de RUMENGOL,Bretagne,BTS   Agricole   Technico commercial   Specialite alimentation et boisson
Prive enseignement superieur,0530997W,ESTACA Laval,Pays de la Loire,Formation d ingenieur Bac + 5   Bac Serie generale avec 2 specialites scientifiques mais sans la specialite Maths en Terminale
Prive enseignement superieur,0922563L,ESILV   Paris la Defense,Ile de France,Formation d ingenieur Bac + 5   Bac Serie generale avec la specialite Maths en Terminale + une specialite non scientifique
Prive enseignement superieur,0694457V,BUILDERS Lyon,Auvergne Rhone Alpes,Formation d ingenieur Bac + 5   Bac Serie generale avec la specialite Maths en Terminale + une specialite non scientifique
Prive enseignement superieur,0951214D,Ecole Superieure des Sciences Economiques et Commerciales de Cergy,Ile de France,Formation des ecoles de commerce et de management Bac + 3   Bachelor ACT   Apprendre à conduire les transitions
Public,0311383K,Universite Toulouse 2 Jean Jaures,Occitanie,"Licence   Langues, litteratures et civilisations etrangeres et regionales   Parcours Bi disciplinaire Traduction, mediation, langues des signes française (LSF)   anglais)"
Prive sous contrat d association,0840940R,Lycee Polyvalent Prive Saint Jean Baptiste la Salle,Provence Alpes Cote d Azur,Formation Bac + 3
Public,0292047T,Lycee du Leon,Bretagne,BTS   Services   Management Commercial Operationnel
Public,0170027M,Lycee Rene Josue Valin,Nouvelle Aquitaine,BTS   Services   Metiers de l esthetique cosmetique parfumerie
Public,0170058W,Lycee Bellevue,Nouvelle Aquitaine,BTS   Services   Gestion de la PME
Prive enseignement superieur,0142440B,ISEN Yncrea Ouest Caen,Normandie,Formation d ingenieur Bac + 5   Bacs technologiques
Public,0292185T,I.U.T de Brest   Site de Morlaix,Bretagne,BUT   Genie civil   Construction durable
Public,0860039A,Lycee professionnel Le Dolmen,Nouvelle Aquitaine,Certificat de Specialisation   Services numeriques aux organisations
Public,0291660X,Universite de Brest   Site de Quimper,Bretagne,Licence   Parcours d Acces Specifique Sante (PASS)
Public,0912413D,"Ecole Universitaire de premier cycle   Campus de Guyancourt, Versailles Saint Quentin en Yvelines, Universite Paris Saclay",Ile de France,Licence   Portail Histoire
Public,0562029B,Lycee Mona Ozouf,Bretagne,BTS   Services   Economie sociale familiale
Public,0134015U,Aix Marseille Universite   Site de Marseille Saint Charles,Provence Alpes Cote d Azur,Licence   Chimie   Portail Marie Curie
Public,0630984C,LEGTPA Louis Pasteur (Clermont Marmilhat),Auvergne Rhone Alpes,"BTS   Agricole   Analyses biologiques, biotechnologiques, agricoles et environnementales"
Public,0912409Z,Ecole Universitaire de premier cycle   Campus d Orsay Universite Paris Saclay,Ile de France,Licence   Portail Sciences de la vie   Biologie Chimie Sciences de la Terre (BCST)   parcours preparation à l entree à des Ecoles de Kinesitherapie en IDF
Public,0130201Y,Aix Marseille Universite   Site de Marseille Luminy,Provence Alpes Cote d Azur,Licence   Informatique   Portail Rene Descartes
Public,0133516B,Aix Marseille Universite   Site d Aix en Provence (Montperrin),Provence Alpes Cote d Azur,Licence   Mathematiques   Portail Rene Descartes
Public,0130201Y,Aix Marseille Universite   Site de Marseille Luminy,Provence Alpes Cote d Azur,Licence   Mathematiques   Portail Rene Descartes
Public,0134015U,Aix Marseille Universite   Site de Marseille Saint Charles,Provence Alpes Cote d Azur,Licence   Sciences pour l ingenieur   Portail Marie Curie
Public,0300002P,Lycee Jean Baptiste Dumas,Occitanie,BTS   Production   Conception des processus de realisation de produits (1ere annee commune)
Public,0133516B,Aix Marseille Universite   Site d Aix en Provence (Montperrin),Provence Alpes Cote d Azur,Licence   Sciences de la vie   Portail Louis Pasteur
Public,0130201Y,Aix Marseille Universite   Site de Marseille Luminy,Provence Alpes Cote d Azur,Licence   Sciences de la vie et de la terre   Portail Pasteur
Public,0450855K,Universite d Orleans,Centre,"Licence   Portail Chimie   CSt (Chimie, Sciences de la terre)"
Public,0755976N,Universite Paris Cite,Ile de France,Certificat de capacite d Orthoptiste
Public,0692566P,ENTPE (Ecole nationale des travaux publics de l Etat),Auvergne Rhone Alpes,"Formation Bac + 3   Bachelor ""Transition Ecologique des Territoires"""
Public,0300021K,Lycee Alphonse DAUDET,Occitanie,CPGE   Lettres
Prive enseignement superieur,0923009W,ESCE Courbevoie,Ile de France,Formation des ecoles de commerce et de management
Public,0120621K,L.E.G.T.A. Villefranche de Rouergue,Occitanie,BTS   Services   Economie sociale familiale
Public,0450855K,Universite d Orleans,Centre,Licence   Physique    Acces Sante
Public,0450855K,Universite d Orleans,Centre,Licence   Chimie    Acces Sante
Prive enseignement superieur,0690194L,ECAM LaSalle,Auvergne Rhone Alpes,Formation Bac + 3   Bachelor Cybersecurite des systemes industriels et urbains
Prive enseignement superieur,0673046X,ICAM Strasbourg Europe,Grand Est,Formation d ingenieur Bac + 5
Public,0756305W,Universite Paris Pantheon Assas,Ile de France,Licence   Gestion
Public,0756305W,Universite Paris Pantheon Assas,Ile de France,Licence   Double diplome   Licence Economie et gestion   College d economie filiere ingenierie en analyse economique
Public,0350005R,Lycee des Metiers   Hotelier et Restauration   Yvon Bourges,Bretagne,Certificat de Specialisation   Sommellerie
Public,0561808L,I.U.T de Lorient (Antenne de Pontivy),Bretagne,BUT   Gestion administrative et commerciale des organisations
Public,0770943G,Lycee professionnel Benjamin Franklin,Ile de France,FCIL   Encadrement de travaux du BTP Bio source et numerique
Public,0693654X,Lycee Rene Descartes,Auvergne Rhone Alpes,BTS   Production   Metiers de la mesure
Public,0762762P,Universite Le Havre Normandie,Normandie,Licence   Informatique
Public,9740472V,Lycee professionnel Patu de Rosemont,Reunion,Certificat de Specialisation   Vendeur conseil en produits techniques pour l habitat
Public,0912413D,"Ecole Universitaire de premier cycle   Campus de Guyancourt, Versailles Saint Quentin en Yvelines, Universite Paris Saclay",Ile de France,Licence   Portail Histoire
Public,0760058A,Lycee Schuman Perret,Normandie,BTS   Production   Metiers de la mesure
Public,0313218E,Universite Toulouse III   Universite Toulouse,Occitanie,Licence   Portail Sciences et Humanites   Sciences Humanites
Public,0541669W,"Universite de Lorraine   Faculte de Medecine, Maïeutique et Metiers de la Sante   site de Nancy (54)",Grand Est,Licence   Portail Sciences pour la sante
Prive enseignement superieur,0941934S,EFREI Paris,Ile de France,Formation des ecoles de commerce et de management Bac + 3   Bachelor Ingenierie Marketing Digital
Prive enseignement superieur,0941934S,EFREI Paris,Ile de France,Formation des ecoles de commerce et de management Bac + 3   Bachelor Management et strategie digitale
Public,0300026R,Lycee Dhuoda,Occitanie,BTS   Production   Travaux publics
Prive enseignement superieur,0593500E,ESME Sudria Lille,Hauts de France,Formation d ingenieur Bac + 5   Bac Serie generale
Public,0300026R,Lycee Dhuoda,Occitanie,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option B : Electronique et reseaux"
Prive sous contrat d association,0931797Y,Lycee Jean Baptiste de La Salle,Ile de France,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option A : Informatique et reseaux"
Public,0300027S,Lycee Hemingway   De La Camargue,Occitanie,BTS   Services   Support à l action manageriale
Public,0300027S,Lycee Hemingway   De La Camargue,Occitanie,BTS   Services   Banque
Public,0597239Y,Universite de Lille,Hauts de France,Licence   Portail Mathematiques   Mathematiques Informatique option Renforce Recherche
Public,0941111X,Universite Paris  Est Creteil Val de Marne   UPEC (Paris 12),Ile de France,Licence   Portail Chimie
Public,0740003B,Lycee Berthollet,Auvergne Rhone Alpes,CPGE   MP2I
Public,0360024F,Lycee Balzac d Alembert,Centre,BTS   Production   Metiers de la mode chaussure et maroquinerie
Public,0680034T,Lycee Louis Armand,Grand Est,BTS   Production   Maintenance des systemes   option D:  maintenance des ascenseurs et elevateurs
Prive enseignement superieur,0442958B,EPF Saint Nazaire,Pays de la Loire,Formation d ingenieur Bac + 5   Bac serie generale avec la specialite Maths en Terminale + une specialite scientifique
Prive sous contrat d association,0271070S,Lycee polyvalent prive Notre Dame Saint François,Normandie,BTS   Services   Gestion de la PME
Prive sous contrat d association,0761353H,Lycee professionnel prive de la coiffure Albert Pourriere,Normandie,BTS   Services   Metiers de la coiffure
Prive sous contrat d association,0350807M,Lycee professionnel hotelier Notre Dame,Bretagne,Certificat de Specialisation   Sommellerie
Prive sous contrat d association,0300127A,Lycee St Vincent De Paul,Occitanie,BTS   Services   Comptabilite et gestion
Public,0750697A,Lycee Batiment Saint Lambert,Ile de France,BTS   Production   Enveloppe des bâtiments : conception et realisation
Public,0400019D,Lycee des metiers de l automobile et du transport Frederic Esteve,Nouvelle Aquitaine,FCIL   Maintenance de vehicules hybrides et electriques
Public,0763237F,Lycee Georges Baptiste,Normandie,Certificat de Specialisation   Sommellerie
Public,0620256S,Lycee Guy Mollet,Hauts de France,CPGE   MP2I
Public,9720832X,Universite des Antilles   Pole Martinique,Martinique,Licence   Portail Mathematiques   Mathematiques Generales et Appliquees
Public,9730429D,Universite de Guyane,Guyane,Licence   Portail Sciences de la vie et de la terre
Public,9730429D,Universite de Guyane,Guyane,Licence   Portail Sciences de la vie et de la terre
Public,0952259P,CY Cergy Paris Universite,Ile de France,Double licence   Mathematiques / Informatique   Double Licence en Mathematiques et Informatique
Public,0597239Y,Universite de Lille,Hauts de France,DEUST   Technicien en qualite et distribution des produits alimentaires
Public,0332192D,Lycee Hotel.Tourisme Gascogne,Nouvelle Aquitaine,Certificat de Specialisation   Sommellerie
Public,0623903F,Lycee professionnel maritime et aquacole,Hauts de France,BTS   Maritime   Pêche et gestion de l environnement marin   reserve aux Mises à Niveau
Public,0762735K,Lycee professionnel maritime Anita Conti,Normandie,BTS   Maritime   Maintenance des systemes electro navals   reserve aux Mises à Niveau
Public,0640080P,Lycee des metiers Moliere,Nouvelle Aquitaine,FCIL   Telepilote de drones
Prive sous contrat d association,0370749N,Campus Sainte Marguerite,Centre,DN MADE   Graphisme
Public,0300930Y,I.U.T de Nîmes,Occitanie,BUT   Gestion des entreprises et des administrations
Prive sous contrat d association,0311145B,Lycee Saint Joseph,Occitanie,BPJEPS   Specialite Educateur sportif   Mention Activites aquatiques et de la natation
Public,0440005S,Lycee Polyvalent Guy Moquet   Etienne Lenoir,Pays de la Loire,BTS   Production   Conception de produits industriels
Prive enseignement superieur,0333570B,ECE Bordeaux,Nouvelle Aquitaine,Formation d ingenieur Bac + 5   Bac serie generale avec la specialite Maths en Terminale + une specialite scientifique
Public,0500017X,Lycee Alexis De Tocqueville,Normandie,BTS   Production   Maintenance des systemes   option A Systemes de production   Parcours Marine Nationale / EAMEA   Defense
Public,0750681H,ESAA Boulle,Ile de France,DN MADE   Espace   Specialite Agencement
Prive hors contrat,9711223C,Institut Business Services,Guadeloupe,D.E Educateur Specialise
Public,0121471J,Institut national universitaire Champollion   Campus de Rodez,Occitanie,Licence   Portail Langues etrangeres appliquees   Affaires et Commerce International
Prive sous contrat d association,0641441U,Lycee Stella Maris   Campus Aitzina,Nouvelle Aquitaine,DTS Imagerie medicale et radiologie therapeutique
Public,0750043P,EIVP   Ecole des ingenieurs de la ville de Paris,Ile de France,Licence   Genie urbain
Public,0301911P,Universite de Nîmes,Occitanie,Licence   Administration economique et sociale
Public,0301911P,Universite de Nîmes,Occitanie,Licence   Portail Sciences de la vie    Biologie environnement
Public,0310017A,Lycee des Metiers   Paul Mathou,Occitanie,BTS   Production   Management economique de la construction
Public,0310024H,Lycee Pierre D Aragon,Occitanie,BTS   Services   Negociation et digitalisation de la Relation Client
Public,0891255F,Universite de Bourgogne Europe (ex UB)   Site d Auxerre,Bourgogne Franche Comte,Licence   Parcours d Acces Specifique Sante (PASS)
Public,0891255F,Universite de Bourgogne Europe (ex UB)   Site d Auxerre,Bourgogne Franche Comte,Licence   Parcours d Acces Specifique Sante (PASS)
Public,0310041B,Lycee Saint Sernin,Occitanie,CPGE   Lettres
Prive enseignement superieur,0752792C,IPAG Business School   Campus de Paris,Ile de France,BTS   Services   Gestion de la PME
Public,0310044E,Lycee Deodat de Severac,Occitanie,BTS   Production   Photonique : technologies et sciences de la lumiere
