"Statut de l’etablissement de la filiere de formation (public, prive…)",Code UAI de l etablissement,etablissement,Region de l’etablissement,Filiere de formation,Coordonnées GPS de la formation
Public,0210018F,Lycee Hippolyte Fontaine,Bourgogne Franche Comte,"BTS   Production   Fluide, energie, domotique   option B froid et conditionnement d air","47.3173, 5.05106"
Public,0801344B,Universite d Amiens,Hauts de France,"DEUST   Animation et gestion des activites physiques, sportives ou culturelles","49.8764, 2.26387"
Public,0383546Y,Universite Grenoble Alpes,Auvergne Rhone Alpes,"Licence   Portail Physique, Chimie, Mecanique, Mathematiques (PCMM)","45.1915, 5.76529"
Public,0383546Y,Universite Grenoble Alpes,Auvergne Rhone Alpes,Licence   Portail Sciences pour l ingenieur,"45.1915, 5.76542"
Public,0383546Y,Universite Grenoble Alpes,Auvergne Rhone Alpes,Licence   Portail Sciences pour l ingenieur,"45.1916, 5.76533"
Public,0210019G,Lycee Le Castel,Bourgogne Franche Comte,BTS   Services   Management Commercial Operationnel,"47.3126, 5.03653"
Public,0260113G,Lycee Les Catalins,Auvergne Rhone Alpes,BTS   Services   Economie sociale familiale,"44.57, 4.76063"
Public,0210019G,Lycee Le Castel,Bourgogne Franche Comte,BTS   Services   Comptabilite et gestion,"47.3126, 5.03653"
Public,0383546Y,Universite Grenoble Alpes,Auvergne Rhone Alpes,Licence   Portail Mathematiques et informatique appliquees aux sciences humaines et sociales   Mathematiques et informatique appliquees aux sciences humaines et sociales (MIASHS),"45.1925, 5.77336"
Public,0442953W,Nantes Universite,Pays de la Loire,Licence   Portail Sciences de la vie et de la terre,"47.23579, -1.5552"
Public,0442953W,Nantes Universite,Pays de la Loire,Licence   Informatique,"47.23576, -1.55563"
Public,0442953W,Nantes Universite,Pays de la Loire,Licence   Portail Mathematiques,"47.23589, -1.55579"
Public,0350097R,INSA Rennes,Bretagne,Formation d ingenieur Bac + 5   Double diplome,"48.1237, -1.63536"
Public,0211033J,Lycee Gustave Eiffel,Bourgogne Franche Comte,CPGE   ENS Rennes D1   Prepa ENS   Rennes,"47.334, 5.06765"
Public,9741204R,Universite de la Reunion   Le Tampon,Reunion,Licence   Genie civil   Parcours Urbanisme transition energetique et environnement,"-21.2698, 55.507"
Public,0952261S,CY TECH   Universite de Cergy Pontoise,Ile de France,Formation d ingenieur Bac + 5,"49.0347, 2.06997"
Public,0134017W,Aix Marseille Universite   Site d Aix en Provence,Provence Alpes Cote d Azur,Licence   Droit   Entierement en distanciel,"43.51478, 5.44706"
Public,0370800U,Universite de Tours,Centre,Licence   Musicologie   Parcours Licence Franco Allemande (LFA),"47.3961, 0.68155"
Public,0250007X,Lycee Victor Hugo,Bourgogne Franche Comte,CPGE   MP2I,"47.2189, 5.97849"
Public,0061642C,Lycee International de Valbonne,Provence Alpes Cote d Azur,CPGE   MP2I,"43.6207, 7.04161"
Public,0753488J,INALCO,Ile de France,"Licence   Portail Langues, litteratures et civilisations etrangeres et regionales   Parcours Asie du Sud et Himalaya   Tamoul","48.8274, 2.37623"
Prive sous contrat d association,0211089V,Lycee Saint Joseph,Bourgogne Franche Comte,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option A : Informatique et reseaux","47.3135, 5.03727"
Prive enseignement superieur,0750252S,Institut Superieur de Commerce de Paris,Ile de France,Formation des ecoles de commerce et de management Bac + 3   Bachelor en management,"48.89268, 2.3011"
Public,0490970N,Universite Angers,Pays de la Loire,"Licence   Portail MPC   Mathematiques, Physique, Chimie","47.48023, -0.59963"
Prive enseignement superieur,0592806E,"Institut Catholique de Lille Faculte de Gestion, Economie et Sciences",Hauts de France,Licence   Portail Economie   Licence internationale d economie et gestion,"50.6337, 3.04508"
Prive sous contrat d association,0211090W,Lycee saint benigne,Bourgogne Franche Comte,Diplome de Comptabilite et de Gestion,"47.3302, 5.01753"
Prive sous contrat d association,0211091X,Lycee Les Arcades,Bourgogne Franche Comte,BTS   Services   Support à l action manageriale,"47.31175, 5.05025"
Prive sous contrat d association,0211091X,Lycee Les Arcades,Bourgogne Franche Comte,BTS   Services   Commerce International,"47.31175, 5.05025"
Public,0753471R,CNAM PARIS,Ile de France,DSP   Developpement et exploitation de parcs informatiques,"48.867, 2.35463"
Prive sous contrat d association,0211091X,Lycee Les Arcades,Bourgogne Franche Comte,BTS   Services   Communication,"47.31175, 5.05025"
Public,0252044L,Universite Marie et Louis Pasteur   Universite de Franche Comte,Bourgogne Franche Comte,Licence   Portail Philosophie,"47.2405, 6.02271"
Public,0211135V,Lycee agricole Dijon Quetigny,Bourgogne Franche Comte,BTS   Agricole   Agronomie et cultures durables,"47.3089, 5.11403"
Public,0211135V,Lycee agricole Dijon Quetigny,Bourgogne Franche Comte,BTS   Agricole   Amenagements paysagers,"47.3089, 5.11403"
Public,0400018C,Lycee Charles Despiau,Nouvelle Aquitaine,BTS   Services   Services et prestations des secteurs sanitaire et social,"43.8833, -0.48639"
Public,0062205P,Universite Cote d Azur,Provence Alpes Cote d Azur,Licence   Sciences et Humanites   Parcours Environnement,"43.6927, 7.23681"
Public,0171463Y,La Rochelle Universite,Nouvelle Aquitaine,Diplome d Universite   PAREO   DU PAREO,"46.1476, -1.15511"
Prive enseignement superieur,0741787R,UCLy Alpes Europe,Auvergne Rhone Alpes,"Licence   Double diplome   Licence Droit   Licence Droit + Diplome Universitaire Droit, Sciences politiques et Etude du bien commun","45.8918, 6.11922"
Public,0211139Z,I.U.T de Dijon,Bourgogne Franche Comte,BUT   Information communication Parcours metiers du livre et du patrimoine,"47.311, 5.06879"
Public,0212296G,Universite Bourgogne Europe (ex universite de Bourgogne),Bourgogne Franche Comte,"Licence   Portail Langues, litteratures et civilisations etrangeres et regionales   Metiers des langues   Allemand","47.3135, 5.06425"
Public,0753431X,Institut d etudes politiques de Paris   Sciences Po,Ile de France,Licence   Double diplome   Licence Lettres   Humanites litteraires et Sciences sociales / Filiere Lettres,"48.8541, 2.3284"
Public,0753431X,Institut d etudes politiques de Paris   Sciences Po,Ile de France,Licence   Double diplome   Licence Philosophie   Humanites litteraires et Sciences sociales / Filiere Philosophie,"48.8541, 2.3284"
Public,0542407Y,Sciences Po   campus de Nancy   Institut d etudes politiques,Grand Est,Double diplome Sciences Po (Programme europeen franco allemand),"48.68333, 6.2"
Public,0383546Y,Universite Grenoble Alpes,Auvergne Rhone Alpes,Licence   Sciences de l education et de la formation   Parcours Preparatoire au Professorat des Ecoles (PPPE),"45.1918, 5.76752"
Public,0212296G,Universite Bourgogne Europe (ex universite de Bourgogne),Bourgogne Franche Comte,Licence   Langues etrangeres appliquees   Parcours Anglais Russe,"47.3135, 5.06425"
Public,0212296G,Universite Bourgogne Europe (ex universite de Bourgogne),Bourgogne Franche Comte,"Licence   Portail Langues, litteratures et civilisations etrangeres et regionales   Metiers des langues   Anglais","47.3135, 5.06427"
Prive sous contrat d association,9710055H,Lycee polyvalent prive Pensionnat De Versailles,Guadeloupe,BTS   Services   Negociation et digitalisation de la Relation Client,"15.9986, -61.7213"
Public,9710709U,Lycee professionnel Gerty Archimede,Guadeloupe,BTS   Services   Management operationnel de la securite,"16.3485, -61.4523"
Public,0761904G,Universite de Rouen Normandie   Campus Mont Saint Aignan,Normandie,Licence   Portail Sciences et Techniques des Activites Physiques et Sportives,"49.4583, 1.06895"
Public,0212296G,Universite Bourgogne Europe (ex universite de Bourgogne),Bourgogne Franche Comte,Licence   Portail Sciences de la vie / Sciences de la terre,"47.3159, 5.06565"
Public,0212296G,Universite Bourgogne Europe (ex universite de Bourgogne),Bourgogne Franche Comte,Licence   Geographie et amenagement   Parcours Amenagement – environnement / Metiers de l enseignement,"47.3135, 5.06429"
Public,0212296G,Universite Bourgogne Europe (ex universite de Bourgogne),Bourgogne Franche Comte,Licence   Histoire de l art et archeologie,"47.3135, 5.06427"
Public,0680034T,Lycee Louis Armand,Grand Est,"DN MADE   Materiaux   SPeCIALITe : TEXTILE    PARCOURS : design de resilience, prospective et developpement durable","47.7305, 7.30633"
Public,0212296G,Universite Bourgogne Europe (ex universite de Bourgogne),Bourgogne Franche Comte,Licence   Portail Psychologie,"47.3135, 5.0643"
Public,0291660X,Universite de Brest   Site de Quimper,Bretagne,Licence   Portail Droit   Droit parcours general,"47.9723, -4.0933"
Public,0490970N,Universite Angers,Pays de la Loire,Licence   Mathematiques   Parcours Preparatoire au Professorat des Ecoles (PPPE),"47.47101, -0.59131"
Public,0121471J,Institut national universitaire Champollion   Campus de Rodez,Occitanie,Licence   Droit   Parcours Droit Gestion,"44.35624, 2.56417"
Public,0762047M,Universite de Rouen Normandie   Campus Sante,Normandie,Licence   Parcours d Acces Specifique Sante (PASS),"49.438, 1.10831"
Public,0451442Y,Lycee professionnel Chateau Blanc,Centre,BTS   Services   Economie sociale familiale,"48.0039, 2.71467"
Prive enseignement superieur,0512185Y,Institut Catholique de Paris (ICP)  Campus de Reims,Grand Est,"Licence   Sciences de l education et de la formation   Parcours  Education, enseignement et formation","49.25, 4.03333"
Public,0763096C,ISEL Le Havre,Normandie,Formation d ingenieur Bac + 5   Bac general,"49.49004, 0.12626"
Prive hors contrat,0210096R,Institut National Formations Notariales,Bourgogne Franche Comte,BTS   Services   Collaborateur juriste notarial,"47.31667, 5.01667"
Public,0220018A,Lycee Auguste Pavie,Bretagne,BTS   Services   Negociation et digitalisation de la Relation Client,"48.55747, -3.14775"
Public,0912418J,"Universite Paris Saclay, Campus d Orsay",Ile de France,"Licence   Portail Droit, Sciences et Innovation   Licence Double Diplome Droit, Sciences et Innovation","48.7015, 2.17978"
Public,0220056S,Lycee Francois Rabelais,Bretagne,CPGE   MPSI,"48.5043, -2.74676"
Public,0220056S,Lycee Francois Rabelais,Bretagne,CPGE   PCSI,"48.5043, -2.74676"
Prive sous contrat d association,0890070T,Lycee SAINT JOSEPH,Bourgogne Franche Comte,BTS   Services   Management operationnel de la securite,"47.8112, 3.55762"
Public,0130006L,Lycee professionnel Gambetta,Provence Alpes Cote d Azur,BTS   Services   Negociation et digitalisation de la Relation Client,"43.5205, 5.45964"
Public,0840004Y,Lycee Theodore Aubanel,Provence Alpes Cote d Azur,BTS   Services   Tourisme,"43.9524, 4.81196"
Public,0220057T,Lycee Ernest Renan,Bretagne,BTS   Services   Tourisme,"48.5157, -2.75339"
Public,0341089Z,Universite Paul Valery   Montpellier 3,Occitanie,Diplome d Universite   PAREO   DU Passeport pour Reussir et s Orienter (PAREO),"43.6308, 3.87033"
Prive sous contrat d association,0573366Z,Lycee   Campus Saint Vincent de Paul Thionville,Grand Est,DN MADE   Numerique   Specialite : Design d Interface et medias numeriques,"49.3496, 6.17234"
Prive sous contrat d association,0220097L,Lycee College NOTRE DAME,Bretagne,BTS   Services   Support à l action manageriale,"48.5616, -3.14235"
Prive enseignement superieur,0142182W,BUILDERS Caen,Normandie,"Formation Bac + 3   Bachelors   Bacs series generale, STI2D, STAV, STL, ST2S, bacs pros identifies","49.2163, -0.36644"
Prive sous contrat d association,0220116G,Lycee/Pole superieur Saint BRIEUC,Bretagne,BTS   Services   Negociation et digitalisation de la Relation Client,"48.5117, -2.77589"
Prive enseignement superieur,0440112H,Audencia,Pays de la Loire,"Formation des ecoles de commerce et de management Bac + 4   Bachelor (BBA) Data, IA et Management","47.2485, -1.54952"
Prive sous contrat d association,0220116G,Lycee/Pole superieur Saint BRIEUC,Bretagne,Diplome de Comptabilite et de Gestion,"48.5117, -2.77589"
Prive sous contrat d association,0530863A,MFR La Pignerie,Pays de la Loire,BTS   Agricole   Genie des equipements agricoles,"48.0533, -0.76648"
Public,0134386X,Aix Marseille Universite   Site d Aubagne,Provence Alpes Cote d Azur,Licence   Sciences et Techniques des Activites Physiques et Sportives   Parcours Activites Equestres Adaptees   APAS,"43.28333, 5.56667"
Public,0642127P,Universite de Pau et des pays de l Adour   College SSH (Pau),Nouvelle Aquitaine,Licence   Lettres   Parcours Preparatoire au Professorat des Ecoles (PPPE),"43.31626, -0.36509"
Public,0221036G,I.U.T de Lannion,Bretagne,BUT   Reseaux et telecommunications,"48.7584, -3.45128"
Public,0221036G,I.U.T de Lannion,Bretagne,BUT   Information communication Parcours journalisme,"48.7584, -3.45128"
Prive enseignement superieur,0592808G,Institut Catholique de Lille   Faculte des Lettres et Sciences Humaines,Hauts de France,Licence   Langues etrangeres appliquees   Parcours Langues et relations Internationales    Anglais et Allemand,"50.6326, 3.04654"
Prive sous contrat d association,0761343X,Lycee La Chataigneraie,Normandie,Certificat de Specialisation   Technicien(ne) en soudage,"49.4133, 1.14618"
Prive sous contrat d association,0221593M,Lycee Pommerit Jaudy,Bretagne,"BTS   Agricole   Analyse, conduite et strategie de l entreprise agricole, option Territoires metropolitains","48.7422, -3.24498"
Prive sous contrat d association,0593030Y,Lycee professionnel Notre Dame du Sacre Coeur,Hauts de France,BTS   Services   Metiers de la coiffure,"50.6178, 3.00467"
Prive sous contrat d association,0221673Z,Lycee agricole St ILAN,Bretagne,"BTS   Agricole   Metiers du Vegetal : Alimentation, Ornement, Environnement","48.5063, -2.70335"
Prive sous contrat d association,0221673Z,Lycee agricole St ILAN,Bretagne,BTS   Agricole   Amenagements paysagers,"48.5063, -2.70335"
Prive enseignement superieur,0221844K,Facultes libres de l ouest   UCO   Bretagne Nord,Bretagne,Licence   Langues etrangeres appliquees   Parcours LEA Anglais  Allemand ou Anglais Espagnol,"48.5612, -3.1642"
Prive enseignement superieur,0221844K,Facultes libres de l ouest   UCO   Bretagne Nord,Bretagne,Licence   Psychologie,"48.5612, -3.1642"
Public,0930126G,Lycee Auguste Blanqui,Ile de France,Certificat de Specialisation   Services numeriques aux organisations,"48.9031, 2.33387"
Public,0221848P,I.U.T de Saint Brieuc,Bretagne,BUT   Techniques de commercialisation,"48.5116, -2.73953"
Public,9710690Y,Lycee professionnel Ducharmoy,Guadeloupe,Certificat de Specialisation   Services numeriques aux organisations,"16.0181, -61.7155"
Public,0230018V,Lycee Des Metiers Du Batiment,Nouvelle Aquitaine,"BTS   Production   Finitions, amenagement des batiments: conception et realisation","45.8893, 2.17728"
Public,0230018V,Lycee Des Metiers Du Batiment,Nouvelle Aquitaine,BTS   Production   Architectures en Metal : conception et Realisation,"45.8893, 2.17728"
Public,0230030H,Lycee agricole d Ahun,Nouvelle Aquitaine,BTS   Agricole   Gestion et maitrise de l eau,"46.0962, 2.02942"
Prive enseignement superieur,0342380C,"TRAVELLING, ecole Superieure du Cinema et de la Television",Occitanie,BTS   Services   Metiers de l audio visuel opt : metiers du son,"43.5892, 3.93834"
Prive enseignement superieur,0342380C,"TRAVELLING, ecole Superieure du Cinema et de la Television",Occitanie,BTS   Services   Metiers de l audio visuel opt : montage et post production,"43.5892, 3.93834"
Prive enseignement superieur,0342380C,"TRAVELLING, ecole Superieure du Cinema et de la Television",Occitanie,BTS   Services   Metiers de l audio visuel opt : gestion de la production,"43.5892, 3.93834"
Prive sous contrat d association,0300080Z,Lycee Emmanuel d Alzon,Occitanie,DTS Imagerie medicale et radiologie therapeutique,"43.8344, 4.37175"
Prive sous contrat d association,0810095N,Lycee Sainte Cecile,Occitanie,Certificat de Specialisation   Animation gestion de projets dans le secteur sportif,"43.9437, 2.14763"
Prive sous contrat d association,0240092V,Lycee professionnel Chambre Com Et Industrie,Nouvelle Aquitaine,BTS   Services   Management en hotellerie restauration,"45.1805, 0.76895"
Public,0241279K,I.U.T de Bordeaux   Site de Perigueux,Nouvelle Aquitaine,BUT   Genie biologique Parcours agronomie,"45.1965, 0.71765"
Public,0250007X,Lycee Victor Hugo,Bourgogne Franche Comte,"BTS   Production   Cybersecurite, Informatique et reseaux, ELectronique   Option B : Electronique et reseaux","47.2189, 5.97849"
Public,0301630J,IFSI CHU Nimes   site : ville de Le Vigan,Occitanie,D.E Infirmier,"43.99015, 3.60161"
Public,0301904G,IFSI CHU Nimes   Site : ville d Uzes,Occitanie,D.E Infirmier,"44.0087, 4.41849"
Prive sous contrat d association,0313057E,Institut de Formation Association Educative pour l Hospitalisation Privee,Occitanie,D.E Infirmier,"43.66667, 1.48333"
Public,0250010A,Lycee Louis Pergaud,Bourgogne Franche Comte,BTS   Services   Comptabilite et gestion,"47.265, 6.04372"
Public,0250010A,Lycee Louis Pergaud,Bourgogne Franche Comte,BTS   Services   Services informatiques aux organisations,"47.265, 6.04372"
Public,0220065B,Lycee Joseph Savina,Bretagne,DN MADE   Materiaux   Specialite : Hybridations des matieres et des techniques appliquees au Design,"48.7853, -3.23313"
Public,0251994G,Lycee polyvalent Germaine Tillion,Bourgogne Franche Comte,BTS   Services   Metiers de l audio visuel opt : metiers du son,"47.4958, 6.80994"
Prive sous contrat d association,0840082H,Lycee professionnel Vincent De Paul,Provence Alpes Cote d Azur,Classe preparatoire aux etudes superieures   Arts,"43.951, 4.80497"
Public,0250043L,Lycee Xavier Marmier,Bourgogne Franche Comte,BTS   Services   Comptabilite et gestion,"46.9143, 6.35026"
Public,0911986P,Polytech Paris Saclay,Ile de France,Formation d ingenieur Bac + 5   Bac general,"48.7091, 2.17104"
